"","year","countryname","Group","TotalSub"
"478",2020,"United States","Fossil-based electricity",0
"479",2020,"United States","Natural gas",99209.5615700373
"480",2020,"United States","Petroleum",449725.885247633
"481",2021,"Belgium","Coal",568.439067688756
"482",2021,"Belgium","Fossil-based electricity",0
"483",2021,"Belgium","Natural gas",3351.1057699677
"484",2021,"Belgium","Petroleum",3096.85011546001
"485",2021,"Brazil","Coal",4661.26586380577
"486",2021,"Brazil","Fossil-based electricity",0
"487",2021,"Brazil","Natural gas",2885.09796799967
"488",2021,"Brazil","Petroleum",57581.7971026542
"489",2021,"China","Coal",1200875.27065179
"490",2021,"China","Fossil-based electricity",55504.9585128057
"491",2021,"China","Natural gas",118410.307144208
"492",2021,"China","Petroleum",391302.149703001
"493",2021,"Denmark","Coal",59.621083114347
"494",2021,"Denmark","Fossil-based electricity",2131.62360598963
"495",2021,"Denmark","Natural gas",136.83584142015
"496",2021,"Denmark","Petroleum",1542.80589682173
"497",2021,"Finland","Coal",257.913739400179
"498",2021,"Finland","Fossil-based electricity",1374.60359927504
"499",2021,"Finland","Natural gas",9.4121922357973
"500",2021,"Finland","Petroleum",23.8884005701654
"501",2021,"France","Coal",1254.84218424438
"502",2021,"France","Fossil-based electricity",0
"503",2021,"France","Natural gas",7356.4237893102
"504",2021,"France","Petroleum",19176.0525620376
"505",2021,"Germany","Coal",10223.4259708334
"506",2021,"Germany","Fossil-based electricity",0
"507",2021,"Germany","Natural gas",9284.9468054341
"508",2021,"Germany","Petroleum",44089.7579231101
"509",2021,"India","Coal",139330.37422211
"510",2021,"India","Fossil-based electricity",23650.5995754785
"511",2021,"India","Natural gas",7467.32633418508
"512",2021,"India","Petroleum",71113.5988320342
"513",2021,"Indonesia","Coal",30297.3807169141
"514",2021,"Indonesia","Fossil-based electricity",14991.366882387
"515",2021,"Indonesia","Natural gas",13870.4857958991
"516",2021,"Indonesia","Petroleum",71161.9992820878
"517",2021,"Ireland","Coal",716.026139970153
"518",2021,"Ireland","Fossil-based electricity",0
"519",2021,"Ireland","Natural gas",227.688110854509
"520",2021,"Ireland","Petroleum",1598.93405569635
"521",2021,"Italy","Coal",600.223670924883
"522",2021,"Italy","Fossil-based electricity",0
"523",2021,"Italy","Natural gas",7246.70154091091
"524",2021,"Italy","Petroleum",19070.8332252681
"525",2021,"Japan","Coal",38479.1579764276
"526",2021,"Japan","Fossil-based electricity",21964.7481550731
"527",2021,"Japan","Natural gas",26926.6875386666
"528",2021,"Japan","Petroleum",136441.845922529
"529",2021,"Luxembourg","Coal",6.80349706763339
"530",2021,"Luxembourg","Fossil-based electricity",369.267151019447
"531",2021,"Luxembourg","Natural gas",163.732026639612
"532",2021,"Luxembourg","Petroleum",2555.67829290708
"533",2021,"Mexico","Coal",3334.02810511513
"534",2021,"Mexico","Fossil-based electricity",3353.29372114312
"535",2021,"Mexico","Natural gas",14453.7926990506
"536",2021,"Mexico","Petroleum",54614.8131994022
"537",2021,"Russian Federation","Coal",108032.92809825
"538",2021,"Russian Federation","Fossil-based electricity",30033.5278020986
"539",2021,"Russian Federation","Natural gas",61261.0946968086
"540",2021,"Russian Federation","Petroleum",162912.698521769
"541",2021,"South Africa","Coal",40345.75823379
"542",2021,"South Africa","Fossil-based electricity",4378.60256412823
"543",2021,"South Africa","Natural gas",0.84089904658134
"544",2021,"South Africa","Petroleum",6014.47228767772
"545",2021,"Spain","Coal",1088.69095724193
"546",2021,"Spain","Fossil-based electricity",236.93676962928
"547",2021,"Spain","Natural gas",6623.37500142764
"548",2021,"Spain","Petroleum",13193.2427677101
"549",2021,"Turkiye","Coal",32663.2994485773
"550",2021,"Turkiye","Fossil-based electricity",3877.9940954379
"551",2021,"Turkiye","Natural gas",30910.1336069146
"552",2021,"Turkiye","Petroleum",30896.9901267193
"553",2021,"United Kingdom","Coal",2155.74444995033
